days,trips,iter,equal_state_and_destination home,min_or_max_state_duration errands,last_trip_to home,min_or_max_state_duration escort,min_or_max_state_duration leisure,min_or_max_state_duration home,equal_state_and_destination leisure,min_or_max_state_duration shopping,equal_state_and_destination errands,equal_state_and_destination shopping
3,5,20,0.0,0.1,0.4,0.0,0.1,0.1,0.1,0.1,0.1,
3,5,30,0.2,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,
3,5,40,0.1,0.0,0.6,0.0,0.1,0.0,0.0,0.2,0.0,
3,5,50,0.1,0.0,0.6,0.0,0.0,0.2,0.0,0.1,0.0,
3,5,60,0.2,0.0,0.4,0.0,0.0,0.1,0.1,0.2,0.0,
3,5,70,0.2,0.1,0.3,0.0,0.2,0.0,0.0,0.1,0.1,
3,5,80,0.3,0.0,0.3,0.0,0.0,0.1,0.1,0.2,0.0,
3,5,90,0.2,0.1,0.4,0.1,0.1,0.1,0.0,0.0,0.0,
3,5,100,0.2,0.0,0.3,0.0,0.2,0.2,0.0,0.1,0.0,
3,5,110,0.2,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.1,
3,5,120,0.2,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.1
3,5,130,0.4,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,140,0.2,0.1,0.4,0.0,0.2,0.1,0.0,0.0,0.0,0.0
