t[s],Converged,Pload,P7 (csv),Unresp (opf),P7 (rpf),Resp (opf),GLD Pub,BID?,P7 Min,V7,LMP_P7,LMP_Q7,Pgen1,Pgen2,Pgen3,Pgen4,Pdisp,Deg,c2,c1
0,True,315.000,100.000,0.000,100.000,-0.000,0.000,False,0.000,0.984,14.065,0.000,212.76,68.87,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
15,True,328.593,100.000,0.000,113.593,-0.000,13.593,False,0.000,0.983,14.065,0.000,212.76,82.65,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
30,True,328.582,100.000,0.000,113.582,-0.000,13.582,False,0.000,0.983,14.065,0.000,212.76,82.64,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
45,True,328.582,100.000,0.000,113.582,-0.000,13.582,False,0.000,0.983,14.065,0.000,212.76,82.64,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
60,True,328.582,100.000,0.000,113.582,-0.000,13.582,False,0.000,0.983,14.065,0.000,212.76,82.64,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
75,True,328.582,100.000,0.000,113.582,-0.000,13.582,False,0.000,0.983,14.065,0.000,212.76,82.64,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
90,True,328.441,100.000,0.000,113.441,-0.000,13.441,False,0.000,0.983,14.065,0.000,212.76,82.49,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
105,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
120,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
135,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
150,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
165,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
180,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
195,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
210,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
225,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
240,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
255,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
270,True,328.300,100.000,0.000,113.300,-0.000,13.300,False,0.000,0.983,14.065,0.000,212.76,82.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
285,True,327.088,99.563,0.000,112.863,-0.000,13.300,False,0.000,0.982,14.519,0.000,220.32,71.92,39.01,0.00,0.00,0.0000,999.00000000,0.00000000
300,True,327.085,99.563,0.000,112.860,-0.000,13.297,False,0.000,0.982,14.519,0.000,220.32,71.92,39.01,0.00,0.00,0.0000,999.00000000,0.00000000
315,True,327.263,99.563,0.000,113.038,-0.000,13.475,False,0.000,0.982,14.519,0.000,220.32,72.10,39.01,0.00,0.00,0.0000,999.00000000,0.00000000
330,True,327.263,99.563,0.000,113.038,-0.000,13.475,False,0.000,0.982,14.519,0.000,220.32,72.10,39.01,0.00,0.00,0.0000,999.00000000,0.00000000
345,True,327.263,99.563,0.000,113.038,-0.000,13.475,False,0.000,0.982,14.519,0.000,220.32,72.10,39.01,0.00,0.00,0.0000,999.00000000,0.00000000
360,True,327.215,99.563,0.000,112.990,-0.000,13.427,False,0.000,0.982,14.519,0.000,220.32,72.05,39.01,0.00,0.00,0.0000,999.00000000,0.00000000
375,True,327.215,99.563,0.000,112.990,-0.000,13.427,False,0.000,0.982,14.519,0.000,220.32,72.05,39.01,0.00,0.00,0.0000,999.00000000,0.00000000
390,True,327.215,99.563,0.000,112.990,-0.000,13.427,False,0.000,0.982,14.519,0.000,220.32,72.05,39.01,0.00,0.00,0.0000,999.00000000,0.00000000
405,True,327.215,99.563,0.000,112.990,-0.000,13.427,False,0.000,0.982,14.519,0.000,220.32,72.05,39.01,0.00,0.00,0.0000,999.00000000,0.00000000
420,True,327.215,99.563,0.000,112.990,-0.000,13.427,False,0.000,0.982,14.519,0.000,220.32,72.05,39.01,0.00,0.00,0.0000,999.00000000,0.00000000
